,accuracy,loss
0,tensor(0.5033),1.017944284081459
1,tensor(0.5300),0.9660167545080185
2,tensor(0.5667),0.9860326665639877
3,tensor(0.5567),0.9566633206605911
4,tensor(0.7167),0.7996719732880593
5,tensor(0.6533),0.6994791594147682
6,tensor(0.6867),0.6722482463717461
7,tensor(0.7500),0.6486525136232376
8,tensor(0.7700),0.6161080375313759
9,tensor(0.7800),0.5595065143704414
10,tensor(0.7267),0.5693348354101181
11,tensor(0.8467),0.42435459479689597
12,tensor(0.9433),0.3494961720705032
13,tensor(0.9233),0.29794423416256904
14,tensor(0.9567),0.25858372673392294
15,tensor(0.9900),0.22128491051495075
